County,Income
Parmer,"$48,344 "
Pecos,"$45,414 "
Polk,"$43,014 "
Potter,"$41,563 "
Presidio,"$32,742 "
Rains,"$47,354 "
Randall,"$65,795 "
Reagan,"$67,308 "
Real,"$36,744 "
Red River,"$36,352 "
Reeves,"$40,092 "
Refugio,"$45,366 "
Roberts,"$75,816 "
Robertson,"$42,680 "
Rockwall,"$97,484 "
Runnels,"$40,112 "
Rusk,"$46,421 "
Sabine,"$38,451 "
San Augustine,"$36,426 "
San Jacinto,"$45,794 "
San Patricio,"$51,667 "
San Saba,"$39,995 "
Schleicher,"$47,258 "
Scurry,"$50,316 "
Shackelford,"$55,403 "
Shelby,"$37,410 "
Sherman,"$55,761 "
Smith,"$52,520 "
Somervell,"$56,944 "
Starr,"$26,691 "
Stephens,"$42,831 "
Sterling,"$60,577 "
Stonewall,"$44,225 "
Sutton,"$54,760 "
Swisher,"$38,790 "
Tarrant,"$61,553 "
Taylor,"$48,215 "
Terrell,"$41,114 "
Terry,"$38,910 "
Throckmorton,"$42,876 "
Titus,"$45,324 "
Tom Green,"$48,221 "
Travis,"$70,068 "
Trinity,"$38,973 "
Tyler,"$43,617 "
Upshur,"$49,015 "
Upton,"$56,335 "
Uvalde,"$36,913 "
Val Verde,"$42,104 "
Van Zandt,"$49,751 "
Victoria,"$53,659 "
Walker,"$42,709 "
Waller,"$56,407 "
Ward,"$63,809 "
Washington,"$53,157 "
Webb,"$36,718 "
Wharton,"$46,097 "
Wheeler,"$47,476 "
Wichita,"$45,071 "
Wilbarger,"$40,955 "
Willacy,"$31,225 "
Williamson,"$82,370 "
Wilson,"$66,045 "
Winkler,"$53,312 "
Wise,"$57,609 "
Wood,"$47,260 "
Yoakum,"$57,114 "
Young,"$52,133 "
Zapata,"$34,136 "
Zavala,"$25,507 "
